chronology ID,author,region_classification,Latitude,Longitude,Elevation
id001,Brubaker,1,47.63,-116.47,960
id002,Brubaker,1,47.53,-115.9,1395
id003,Brubaker,1,46.95,-116.63,1219
or001,Brubaker,1,45.15,-120.12,1224
wa009,Brubaker,1,48.42,-120.4,1224
wa010,Brubaker,1,48.5,-118.8,765
wa011,Brubaker,1,48.57,-119.15,1285
wa012,Brubaker,1,46.85,-117.17,765
wa013,Brubaker,1,46.22,-117.7,918
wa014,Brubaker,1,45.32,-118.8,1071
wa015,Brubaker,1,47.65,-120.43,1775
wa016,Brubaker,1,46.67,-120.93,1377
wa018,Brubaker,1,47.03,-122.58,61
wa026,Brubaker,1,45.98,-120.6,775
wa037,Brubaker,1,48.28,-120.23,1085
wa038,Brubaker,1,47.2,-120.28,1670
az077,Dean,2,34.07,-110.62,1798
az079,Dean,2,34.05,-110.65,1817
az087,Dean,2,35.38,-111.53,2225
az088,Dean,2,35.67,-109.33,2195
az089,Dean,2,34.25,-109.82,2073
az090,Dean,2,35.67,-109.33,2195
az098,Dean,2,35.5,-111.83,2194
az100,Dean,2,35.43,-111.68,2225
az572,Dean,2,35.4,-111.583,2134
nm021,Dean,2,37,-107.82,2073
nm029,Dean,2,35.4,-108.52,2377
nm033,Dean,2,35.03,-108.35,2225
nm036,Dean,2,34.77,-106.32,2103
nm052,Dean,2,35.58,-107.25,2393
nm500,Dean,2,36.12,-105.73,2316
nm501,Dean,2,36.78,-106.28,1890
nm597,Dean,2,36.7,-107.3167,2084
nm603,Dean,2,33.3833,-108.2333,2663
ut021,Dean,2,37.02,-110.85,2286
ca524,Graulich,3,41.17,-122.03,1463
ca525,Graulich,3,41.5,-121.17,1448
ca526,Graulich,3,41.18,-120.12,2195
ca527,Graulich,3,40.22,-120.92,1768
or027,Graulich,3,42.27,-122.08,1650
wa059,Graulich,3,47.35,-120.55,1240
wa060,Graulich,3,48,-120.6,915
az513,Graybil,4,33.7,-109.23,2392
az520,Graybil,4,32.38,-110.68,2194
az521,Graybil,4,35.27,-111.75,2225
az522,Graybil,4,34.38,-110.42,1969
az523,Graybil,4,34.07,-110.62,1798
az524,Graybil,4,32.22,-110.55,2535
az526,Graybil,4,31.7,-110.87,2133
az527,Graybil,4,34.32,-110.77,2362
az528,Graybil,4,32.65,-109.82,2346
az530,Graybil,4,32.22,-110.55,2441
az533,Graybil,4,33.9,-111.4,2133
az538,Graybil,4,34.72,-111.5,1965
az539,Graybil,4,35.38,-111.53,2225
az540,Graybil,4,32,-109.33,1828
az541,Graybil,4,33.42,-109.37,2316
az542,Graybil,4,34.25,-109.93,2072
az543,Graybil,4,35.5,-111.83,2194
az545,Graybil,4,32.2,-110.55,2362
az547,Graybil,4,35.17,-111.52,2057
co532,Graybil,4,40.37,-105.58,2605
co534,Graybil,4,39.93,-105.27,1889
co538,Graybil,4,40.53,-105.23,1706
co539,Graybil,4,39.68,-105.2,1965
co541,Graybil,4,39.45,-105.13,1828
co542,Graybil,4,40.17,-105.28,1798
co544,Graybil,4,40.1,-105.73,2621
co548,Graybil,4,38.6,-104.87,1938
co550,Graybil,4,40.37,-105.25,1920
co551,Graybil,4,40.05,-105.43,2560
nm566,Graybil,4,33.38,-108.23,2651
nm567,Graybil,4,33.22,-108.27,1767
